student_id,name,email,phone,department_id,pride,class_number,track,survey_round_id,first_choice_id,second_choice_id,decision_status_id,decision_scale
202500000,김민준,student00000@hanyang.ac.kr,010-5506-5012,100,I,2,전계열,1,205,502,1,2
202500000,김민준,student00000@hanyang.ac.kr,010-5506-5012,100,I,2,전계열,2,303,700,2,5
202500000,김민준,student00000@hanyang.ac.kr,010-5506-5012,100,I,2,전계열,3,500,303,3,1
202500001,정서연,student00001@hanyang.ac.kr,010-7912-1520,101,L,4,전계열,1,210,502,2,2
202500001,정서연,student00001@hanyang.ac.kr,010-7912-1520,101,L,4,전계열,2,403,206,1,3
202500002,이도윤,student00002@hanyang.ac.kr,010-1434-4257,101,E,9,전계열,1,404,305,4,5
202500002,이도윤,student00002@hanyang.ac.kr,010-1434-4257,101,E,9,전계열,2,207,407,3,5
202500002,이도윤,student00002@hanyang.ac.kr,010-1434-4257,101,E,9,전계열,3,405,301,1,2
202500003,최하은,student00003@hanyang.ac.kr,010-8359-5557,101,I,7,전계열,1,400,205,4,3
202500003,최하은,student00003@hanyang.ac.kr,010-8359-5557,101,I,7,전계열,2,600,405,3,2
202500004,박지호,student00004@hanyang.ac.kr,010-3547-4527,101,L,2,전계열,1,306,204,2,5
202500004,박지호,student00004@hanyang.ac.kr,010-3547-4527,101,L,2,전계열,2,304,210,3,5
202500005,최서연,student00005@hanyang.ac.kr,010-6881-6635,101,O,1,전계열,1,303,403,1,3
202500005,최서연,student00005@hanyang.ac.kr,010-6881-6635,101,O,1,전계열,2,407,306,3,2
202500005,최서연,student00005@hanyang.ac.kr,010-6881-6635,101,O,1,전계열,3,602,407,2,3
202500006,최도윤,student00006@hanyang.ac.kr,010-3045-7201,101,S,5,전계열,1,208,305,3,5
202500006,최도윤,student00006@hanyang.ac.kr,010-3045-7201,101,S,5,전계열,2,501,407,2,5
202500006,최도윤,student00006@hanyang.ac.kr,010-3045-7201,101,S,5,전계열,3,602,205,1,2
202500007,정서윤,student00007@hanyang.ac.kr,010-4150-2139,101,E,4,전계열,1,210,502,4,4
202500007,정서윤,student00007@hanyang.ac.kr,010-4150-2139,101,E,4,전계열,2,600,800,1,1
202500008,박서연,student00008@hanyang.ac.kr,010-4814-2654,101,O,8,전계열,1,800,306,1,3
202500008,박서연,student00008@hanyang.ac.kr,010-4814-2654,101,O,8,전계열,2,501,210,3,5
202500008,박서연,student00008@hanyang.ac.kr,010-4814-2654,101,O,8,전계열,3,303,700,3,5
202500009,박예준,student00009@hanyang.ac.kr,010-7065-6820,101,E,5,전계열,1,301,209,2,5
202500009,박예준,student00009@hanyang.ac.kr,010-7065-6820,101,E,5,전계열,2,700,200,4,1
202500009,박예준,student00009@hanyang.ac.kr,010-7065-6820,101,E,5,전계열,3,207,406,2,1
202500010,김서현,student00010@hanyang.ac.kr,010-3803-9751,100,I,3,전계열,1,304,205,4,1
202500010,김서현,student00010@hanyang.ac.kr,010-3803-9751,100,I,3,전계열,2,800,208,4,5
202500010,김서현,student00010@hanyang.ac.kr,010-3803-9751,100,I,3,전계열,3,210,306,4,2
202500011,최주원,student00011@hanyang.ac.kr,010-5422-4598,100,O,1,전계열,1,800,301,3,4
202500011,최주원,student00011@hanyang.ac.kr,010-5422-4598,100,O,1,전계열,2,700,502,2,1
202500011,최주원,student00011@hanyang.ac.kr,010-5422-4598,100,O,1,전계열,3,403,201,2,5
202500012,이민준,student00012@hanyang.ac.kr,010-6168-7572,100,L,4,전계열,1,303,200,1,2
202500012,이민준,student00012@hanyang.ac.kr,010-6168-7572,100,L,4,전계열,2,204,202,2,3
202500012,이민준,student00012@hanyang.ac.kr,010-6168-7572,100,L,4,전계열,3,602,302,4,2
202500013,정서윤,student00013@hanyang.ac.kr,010-4483-9179,100,E,8,전계열,1,601,500,1,4
202500013,정서윤,student00013@hanyang.ac.kr,010-4483-9179,100,E,8,전계열,2,404,502,1,1
202500013,정서윤,student00013@hanyang.ac.kr,010-4483-9179,100,E,8,전계열,3,203,500,1,2
202500014,이지호,student00014@hanyang.ac.kr,010-3287-5040,100,S,9,전계열,1,301,302,2,4
202500014,이지호,student00014@hanyang.ac.kr,010-3287-5040,100,S,9,전계열,2,302,400,1,4
202500014,이지호,student00014@hanyang.ac.kr,010-3287-5040,100,S,9,전계열,3,801,206,1,1
202500015,박서현,student00015@hanyang.ac.kr,010-8019-7543,102,I,3,전계열,1,304,210,4,2
202500015,박서현,student00015@hanyang.ac.kr,010-8019-7543,102,I,3,전계열,2,407,203,1,4
202500015,박서현,student00015@hanyang.ac.kr,010-8019-7543,102,I,3,전계열,3,305,601,4,2
202500016,정지우,student00016@hanyang.ac.kr,010-2489-1771,102,I,3,전계열,1,301,401,1,3
202500016,정지우,student00016@hanyang.ac.kr,010-2489-1771,102,I,3,전계열,2,203,204,2,1
202500016,정지우,student00016@hanyang.ac.kr,010-2489-1771,102,I,3,전계열,3,603,205,1,2
202500017,최서현,student00017@hanyang.ac.kr,010-2040-7304,102,S,8,전계열,1,407,207,1,5
202500017,최서현,student00017@hanyang.ac.kr,010-2040-7304,102,S,8,전계열,2,205,501,3,3
202500018,정지호,student00018@hanyang.ac.kr,010-1188-2876,102,S,5,전계열,1,302,403,4,2
202500018,정지호,student00018@hanyang.ac.kr,010-1188-2876,102,S,5,전계열,2,401,601,1,1
202500018,정지호,student00018@hanyang.ac.kr,010-1188-2876,102,S,5,전계열,3,600,206,2,5
202500019,박서연,student00019@hanyang.ac.kr,010-5808-8123,102,N,1,전계열,1,305,208,2,3
202500019,박서연,student00019@hanyang.ac.kr,010-5808-8123,102,N,1,전계열,2,400,210,3,5
202500019,박서연,student00019@hanyang.ac.kr,010-5808-8123,102,N,1,전계열,3,700,200,3,1
202500020,박도윤,student00020@hanyang.ac.kr,010-3927-9317,102,E,5,전계열,1,208,306,2,3
202500020,박도윤,student00020@hanyang.ac.kr,010-3927-9317,102,E,5,전계열,2,400,302,3,5
202500020,박도윤,student00020@hanyang.ac.kr,010-3927-9317,102,E,5,전계열,3,602,305,4,3
202500021,정서현,student00021@hanyang.ac.kr,010-4258-3504,102,I,9,전계열,1,202,200,2,3
202500021,정서현,student00021@hanyang.ac.kr,010-4258-3504,102,I,9,전계열,2,210,600,4,5
202500022,정민준,student00022@hanyang.ac.kr,010-6310-9005,102,L,6,전계열,1,200,208,2,5
202500022,정민준,student00022@hanyang.ac.kr,010-6310-9005,102,L,6,전계열,2,202,406,2,4
202500022,정민준,student00022@hanyang.ac.kr,010-6310-9005,102,L,6,전계열,3,208,202,1,3
202500023,박하은,student00023@hanyang.ac.kr,010-1949-4946,102,L,2,전계열,1,302,305,3,5
202500023,박하은,student00023@hanyang.ac.kr,010-1949-4946,102,L,2,전계열,2,500,209,2,4
202500024,최서연,student00024@hanyang.ac.kr,010-9727-3060,102,E,8,전계열,1,201,301,2,3
202500024,최서연,student00024@hanyang.ac.kr,010-9727-3060,102,E,8,전계열,2,210,206,4,2
202500024,최서연,student00024@hanyang.ac.kr,010-9727-3060,102,E,8,전계열,3,301,601,2,2
202500025,정예준,student00025@hanyang.ac.kr,010-5342-9645,102,N,4,전계열,1,201,302,3,1
202500025,정예준,student00025@hanyang.ac.kr,010-5342-9645,102,N,4,전계열,2,306,405,4,5
202500025,정예준,student00025@hanyang.ac.kr,010-5342-9645,102,N,4,전계열,3,403,201,2,5
202500026,정하은,student00026@hanyang.ac.kr,010-6107-7537,102,E,6,전계열,1,305,202,4,3
202500026,정하은,student00026@hanyang.ac.kr,010-6107-7537,102,E,6,전계열,2,402,502,1,4
202500026,정하은,student00026@hanyang.ac.kr,010-6107-7537,102,E,6,전계열,3,802,301,4,1
